"General Configuration","General Configuration"
"Select Yes to enable this module.","Select Yes to enable this module."
"Sharethis Property ID","Sharethis Property ID"
"Used for adding social share buttons. Visit <a href=""https://sharethis.com/"" target=""_bank"">Sharethis.com</a> to create an account then get the property ID.","Used for adding social share buttons. Visit <a href=""https://sharethis.com/"" target=""_bank"">Sharethis.com</a> to create an account then get the property ID."
Route,Route
"Leave empty to use default URL route. Default: subscribe","Leave empty to use default URL route. Default: subscribe"
"Delete Rules","Delete Rules"
"Are you sure you wan't to delete selected Rules?","Are you sure you wan't to delete selected Rules?"
"Change status","Change status"
ID,ID
Type,Type
"Store View","Store View"
"Created Date","Created Date"
"Updated Date","Updated Date"
